Joint_1_x,Joint_1_y,Joint_1_z,Joint_2_x,Joint_2_y,Joint_2_z,Joint_3_x,Joint_3_y,Joint_3_z,Correct
-0.340455,0.6772152,-2.425342,-0.4912731,0.8564847,-2.299387,-0.4275539,1.084259,-2.173421,1
-0.3399076,0.6774602,-2.432729,-0.4984072,0.8529057,-2.310888,-0.4405913,1.079586,-2.180192,1
-0.3387561,0.6738174,-2.431817,-0.5021483,0.8464816,-2.312492,-0.446721,1.071825,-2.178491,1
-0.3396772,0.6704634,-2.434414,-0.5079956,0.8401111,-2.317636,-0.4560976,1.06558,-2.182438,1
-0.341659,0.6688656,-2.433383,-0.5144401,0.8333881,-2.315792,-0.4619941,1.05805,-2.179467,1
-0.3434444,0.6675798,-2.436161,-0.5244457,0.8242966,-2.320286,-0.4697418,1.047325,-2.182176,1
-0.3442764,0.6650475,-2.441485,-0.5332737,0.8137796,-2.327875,-0.4834603,1.036869,-2.188025,1
-0.3433414,0.6631271,-2.440181,-0.5377181,0.8049566,-2.326821,-0.4904747,1.027779,-2.185659,1
-0.3441999,0.6610901,-2.444743,-0.5420406,0.7979022,-2.331209,-0.4945379,1.018983,-2.18742,1
-0.3455516,0.6603534,-2.446521,-0.5466306,0.7931399,-2.333899,-0.4995221,1.013525,-2.188919,1
-0.3445815,0.6597962,-2.447848,-0.5487223,0.7886634,-2.336187,-0.5022022,1.008489,-2.190171,1
-0.3447135,0.6578696,-2.447226,-0.5519941,0.7826971,-2.336766,-0.5085832,1.003229,-2.190856,1
-0.3468461,0.6552184,-2.453407,-0.5589768,0.7748254,-2.346434,-0.5240947,0.9966739,-2.200232,1
-0.3476465,0.6526957,-2.453976,-0.5654152,0.7630755,-2.348423,-0.5341547,0.982689,-2.198086,1
-0.3470685,0.6508851,-2.454307,-0.5668864,0.7573524,-2.348983,-0.5316306,0.9756604,-2.197632,1
-0.3470685,0.6508851,-2.454307,-0.5668864,0.7573524,-2.348983,-0.5316306,0.9756604,-2.197632,1
-0.3470685,0.6508851,-2.454307,-0.5668864,0.7573524,-2.348983,-0.5316306,0.9756604,-2.197632,1
-0.3470685,0.6508851,-2.454307,-0.5668864,0.7573524,-2.348983,-0.5316306,0.9756604,-2.197632,1
-0.3487754,0.6499735,-2.455345,-0.5706686,0.7523465,-2.350313,-0.5345969,0.9704356,-2.198839,1
-0.3487754,0.6499735,-2.455345,-0.5706686,0.7523465,-2.350313,-0.5345969,0.9704356,-2.198839,1
-0.3487754,0.6499735,-2.455345,-0.5706686,0.7523465,-2.350313,-0.5345969,0.9704356,-2.198839,1
-0.3487754,0.6499735,-2.455345,-0.5706686,0.7523465,-2.350313,-0.5345969,0.9704356,-2.198839,1
-0.3487754,0.6499735,-2.455345,-0.5706686,0.7523465,-2.350313,-0.5345969,0.9704356,-2.198839,1
-0.3487754,0.6499735,-2.455345,-0.5706686,0.7523465,-2.350313,-0.5345969,0.9704356,-2.198839,1
-0.3487754,0.6499735,-2.455345,-0.5706686,0.7523465,-2.350313,-0.5345969,0.9704356,-2.198839,1
-0.3487754,0.6499735,-2.455345,-0.5706686,0.7523465,-2.350313,-0.5345969,0.9704356,-2.198839,1
-0.3487754,0.6499735,-2.455345,-0.5706686,0.7523465,-2.350313,-0.5345969,0.9704356,-2.198839,1
-0.3487754,0.6499735,-2.455345,-0.5706686,0.7523465,-2.350313,-0.5345969,0.9704356,-2.198839,1
